buffer_packets,tx_packets,rx_packets,lost_packets,queue_disc_drops,packet_loss_ratio_percent,throughput_mbps,average_delay_ms,run_seed,flow_id
1,2197,1705,492,1222,22.394174,0.797182,26.381596,1,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,1,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,1,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,1,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,1,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,1,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,1,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,1,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,1,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,1,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,2,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,2,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,2,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,2,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,2,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,2,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,2,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,2,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,2,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,2,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,3,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,3,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,3,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,3,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,3,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,3,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,3,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,3,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,3,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,3,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,4,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,4,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,4,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,4,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,4,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,4,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,4,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,4,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,4,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,4,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,5,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,5,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,5,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,5,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,5,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,5,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,5,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,5,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,5,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,5,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,6,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,6,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,6,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,6,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,6,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,6,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,6,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,6,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,6,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,6,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,7,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,7,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,7,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,7,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,7,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,7,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,7,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,7,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,7,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,7,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,8,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,8,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,8,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,8,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,8,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,8,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,8,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,8,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,8,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,8,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,9,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,9,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,9,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,9,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,9,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,9,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,9,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,9,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,9,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,9,1
1,2197,1705,492,1222,22.394174,0.797182,26.381596,10,1
5,2197,1709,488,1218,22.212107,0.799052,43.198452,10,1
10,2197,1709,488,1213,22.212107,0.799052,64.105766,10,1
20,2197,1714,483,1203,21.984524,0.801390,105.602297,10,1
50,2197,1727,470,1173,21.392808,0.807468,227.480525,10,1
100,2197,1749,448,1123,20.391443,0.817755,422.110702,10,1
200,2197,1790,407,1023,18.525262,0.836924,780.743345,10,1
500,2197,1908,289,723,13.154301,0.892096,1634.098883,10,1
750,2197,2008,189,473,8.602640,0.938852,2123.680230,10,1
1000,2197,2107,90,223,4.096495,0.985140,2441.509905,10,1
